TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  5195  28 084 Mathematik mit zusätzlichem Promotionsstudiengang Mathematik (20231, Elite-Masterstudium, laufend)
  5137  28 331 Computational Mechanics (Honoursprogramm) (20211, Elite-Masterstudium, laufend)
  5426  28 908 Biomedical Neuroscience (20241, Elite-Masterstudium, laufend)
  4772  29 083 Science and Technology Studies (STS) (20181, Masterstudium, laufend)
  4773  29 271 Responsibility in Science, Engineering and Technology (RESET) (20181, Elite-Masterstudium, laufend)
  5182  29 350 Architektur (20231, Masterstudium, laufend)
  5197  29 712 Landschaftsarchitektur (20231, Masterstudium, laufend)
  5096  30 350 Architektur (20221, Bachelorstudium, laufend)
  5414  31 290 Sport Lehramt an Grundschulen Erweiterung oder Drittfach (20241, Lehramtsstudium, laufend)
  5420  33 290 Sport (20241, Lehramtsstudium, laufend)
  5416  34 290 Sport (20241, Lehramtsstudium, laufend)
  5118  37 016, 028 Mathematik, Informatik (20221, Masterstudium, laufend)
  5089  37 016, 290 Mathematik, Sport (20221, Masterstudium, laufend)
  5119  37 017, 054 Mathematik, Physik (20221, Masterstudium, laufend)
  5088  37 018, 108 Mathematik, Chemie (20221, Masterstudium, laufend)
  5087  37 110, 100 Biologie, Chemie (20221, Masterstudium, laufend)
  5338  38 093 Bautechnik mit affiner Fachrichtung Holztechnik (20241, Masterstudium, laufend)
  5267  38 190 Ernährungs- und Hauswirtschaftswissenschaft (20241, Masterstudium, laufend)
  5268  38 201 Gesundheits- und Pflegewissenschaft (20241, Masterstudium, laufend)
  5265  38 320 Bautechnik (20241, Masterstudium, laufend)
  5269  38 421 Metalltechnik (20241, Masterstudium, laufend)
  5266  38 501 Elektrotechnik und Informationstechnik (20241, Masterstudium, laufend)
  5261  38 700 Agrarwirtschaft (20241, Masterstudium, laufend)
  4922  39 170 Research on Teaching and Learning (20201, Masterstudium, laufend)
  5228  40 010 Berufliche Bildung: Erweiterung um das Unterrichtsfach Mathematik (20231, Erweiterungsstudium Lehramt, laufend)
  5227  40 030 Berufliche Bildung: Erweiterung um das Unterrichtsfach Informatik (20231, Erweiterungsstudium Lehramt, laufend)
  5230  40 051 Berufliche Bildung: Erweiterung um das Unterrichtsfach Physik  (20231, Erweiterungsstudium Lehramt, laufend)
  5212  40 100 Berufliche Bildung: Erweiterung um das Unterrichtsfach Chemie (20231, Erweiterungsstudium Lehramt, laufend)
  5211  40 110 Berufliche Bildung: Erweiterung um das Unterrichtsfach Biologie  (20231, Erweiterungsstudium Lehramt, laufend)
  5238  40 123 Mathematik für Wirtschaftspädagogik (20231, Erweiterungsstudium Lehramt, laufend)
  5240  40 125 Sport für Wirtschaftspädagogik (20231, Erweiterungsstudium Lehramt, laufend)
  5241  40 126 Politik und Gesellschaft für Wirtschaftspädagogik (20231, Erweiterungsstudium Lehramt, laufend)
  5233  40 272 Berufliche Bildung: Erweiterung um das Unterrichtsfach Politik und Gesellschaft (20231, Erweiterungsstudium Lehramt, laufend)
  5234  40 290 Berufliche Bildung: Erweiterung um das Unterrichtsfach Sport (20231, Erweiterungsstudium Lehramt, laufend)
  5229  40 426 Berufliche Bildung: Erweiterung um das Unterrichtsfach Mechatronik  (20231, Erweiterungsstudium Lehramt, laufend)
  5226  40 971 Berufliche Bildung: Erweiterung um das Unterrichtsfach Englisch  (20231, Erweiterungsstudium Lehramt, laufend)
  5214  40 972 Berufliche Bildung: Erweiterung um das Unterrichtsfach Deutsch (20231, Erweiterungsstudium Lehramt, laufend)
  5231  40 973 Berufliche Bildung: Erweiterung um das Unterrichtsfach Evangelische Religion  (20231, Erweiterungsstudium Lehramt, laufend)
  5232  40 974 Berufliche Bildung: Erweiterung um das Unterrichtsfach Katholische Religion (20231, Erweiterungsstudium Lehramt, laufend)
  5225  40 984 Berufliche Bildung: Erweiterung um das Unterrichtsfach Berufssprache Deutsch (20231, Erweiterungsstudium Lehramt, laufend)
  5210  40 994 Psychologie mit schulpsychologischem Schwerpunkt  (20231, Erweiterungsstudium Lehramt, laufend)
  5378  41 016 Mathematik (20241, Erweiterungsstudium Lehramt, laufend)
  5379  41 028 Informatik (20241, Erweiterungsstudium Lehramt, laufend)
